place_id,isletme,kategori,primitif,bolge,adres,lat,lng,telefon,website,puan,yorum_sayisi,google_tipi,transfer_agirligi,skor
ChIJx25TQdelyhQRMklQ1npvq-w,Rüzgar oto özel servis,oto tamir servisi,kisitli alanda alet kullanimi,Ikitelli OSB,"İkitelli OSB, Güngören - Bağcılar 19 Blok Sk No:41, 34490 Başakşehir/İstanbul",41.075583699999996,28.8040135,,,5,31,Araç Bakım ve Onarımı,0.9,0.63
ChIJ4dSab1KlyhQR0Gxw8-iaQ4Q,YuSuF oto TaMiR ve Bakım Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Ikitelli OSB,"İkitelli OSB, Güngören - Bağcılar Sanayi Sitesi 19 blok no 31, 34480 Başakşehir/İstanbul",41.0758351,28.803871899999997,,,5,1,Araç Bakım ve Onarımı,0.9,0.63
ChIJ65RFkeK6yhQRIuuCP5mxwec,Birlik Oto Tamir Ve Bakim Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Merter,"Tozkoparan, Eski Londra Asfaltı Cd., 34173 Güngören/İstanbul",41.0184158,28.8921276,,,5,1,Araç Bakım ve Onarımı,0.9,0.63
ChIJb_bDRAK7yhQRGkXsHSclEYM,HAZNEDAR ELEKTRONİK,elektronik tamir,ince motor manipulasyon,Merter,"Haznedar, Marmara Cd. no:2 D, 34160 Güngören/İstanbul",41.007858899999995,28.869827599999994,,,4.3,365,Elektronik eşya mağazası,0.9,0.63
ChIJh9ZLS4K7yhQR-rYOjnFj-L0,Merter Oto Lastikçi 7/24,oto tamir servisi,kisitli alanda alet kullanimi,Merter,"Abdurrahman Nafiz Gürman, 34173 Güngören/İstanbul",41.0045439,28.892047399999996,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJn_ZQzPvIyhQRl4XtUh6k8e0,Yücesoy Elektronik Xiaomi-Roborock-Viomi Robot Süpürge Bakım Onarım Hizmetleri,elektronik tamir,ince motor manipulasyon,Modoko Umraniye,"Yamanevler, Dilber Sk. 8/A, 34800 Ümraniye/İstanbul",41.027454999999996,29.102696,,,4.5,81,Hizmetler,0.9,0.63
ChIJpe4mAwDPyhQRgloP01xbU6Y,Zeren oto tamir detaylı temizlik servisi,oto tamir servisi,kisitli alanda alet kullanimi,Modoko Umraniye,"Adem Yavuz, Mimar Sinan Cd. 28 C, 34773 Ümraniye/İstanbul",41.0192961,29.155047799999995,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJ7YjbgAa3yhQRjs_7tEQLEWo,Akin Oto Elektrik Tamir Bakim Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"19 Mayıs, Çoruh Sk. No:29, 34360 Şişli/İstanbul",41.0574124,28.993911599999997,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJWV5vT9e3yhQRNcuDX7wfjhk,Ateş Teknik Servis,elektronik tamir,ince motor manipulasyon,Osmanbey Sisli,"Mecidiyeköy Mahallesi, Kırçıl Sk. No:5/B, 34381 Şişli/İstanbul",41.068329,28.998220999999997,,,5,16,Hizmetler,0.9,0.63
ChIJcRotBWu3yhQRNG7VDJCsF8E,Birol Elektronik,elektronik tamir,ince motor manipulasyon,Osmanbey Sisli,"Feriköy, Bozkurt Cd. 193A, 34377 Şişli/İstanbul",41.0473369,28.979464900000004,,,5,1,Hizmetler,0.9,0.63
ChIJuwh43BK3yhQRISUxD0U5qhs,Bosch Car Service,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Bozkurt, Dolapdere Cd., 34375 Şişli/İstanbul",41.0490329,28.9853793,,,5,3,Araç Bakım ve Onarımı,0.9,0.63
ChIJ8c5k00e3yhQRYD0Zzp4vDJc,Halk Elektronik,elektronik tamir,ince motor manipulasyon,Osmanbey Sisli,"mahalle, Mahmut Şevket Paşa, Mektep Sk. 2A, 34384 Şişli/İstanbul",41.051795899999995,28.964560900000002,,,4.4,31,Hizmetler,0.9,0.63
